"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case verify the welcome message text when selection new language","10101","languageSelectorTest","All Test Suite","Sun Nov 03 21:58:31 EET 2024","failed","Sun Nov 03 21:58:41 EET 2024","LangFitTests.LanguageSelectorTest","Chrome Tests","LangFitTests.LanguageSelectorTest","languageSelectorTest"
"This test case verify if login page with different resolutions","4721","InvalidLogin","All Test Suite","Sun Nov 03 21:59:11 EET 2024","passed","Sun Nov 03 21:59:16 EET 2024","LangFitTests.ViewPortTest","Chrome Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify if user is not able to login with invalid credentials with different set of data","4977","InvalidLogin","All Test Suite","Sun Nov 03 21:59:02 EET 2024","passed","Sun Nov 03 21:59:07 EET 2024","LangFitTests.NGTest","Chrome Tests","LangFitTests.NGTest","InvalidLogin"
"This test case verify if user is not able to login with invalid credentials with different set of data","3749","InvalidLogin","All Test Suite","Sun Nov 03 21:58:58 EET 2024","passed","Sun Nov 03 21:59:02 EET 2024","LangFitTests.NGTest","Chrome Tests","LangFitTests.NGTest","InvalidLogin"
"This test case verify if user is not able to login with invalid credentials","5388","InvalidLoginCredentials","All Test Suite","Sun Nov 03 21:58:25 EET 2024","passed","Sun Nov 03 21:58:31 EET 2024","LangFitTests.InvalidLoginTest","Chrome Tests","LangFitTests.InvalidLoginTest","InvalidLoginCredentials"
"This test case verify if user is able to set up new password via reset password link","5297","ForgotPassword","All Test Suite","Sun Nov 03 22:02:21 EET 2024","passed","Sun Nov 03 22:02:27 EET 2024","LangFitTests.ForgotPassTest","WebKit Tests","LangFitTests.ForgotPassTest","ForgotPassword"
"This test case verify if user is not able to login with invalid credentials with different set of data","2849","InvalidLogin","All Test Suite","Sun Nov 03 22:01:02 EET 2024","passed","Sun Nov 03 22:01:05 EET 2024","LangFitTests.NGTest","Firefox Tests","LangFitTests.NGTest","InvalidLogin"
"This test case verify the welcome message text when selection new language","8870","languageSelectorTest","All Test Suite","Sun Nov 03 22:02:32 EET 2024","failed","Sun Nov 03 22:02:41 EET 2024","LangFitTests.LanguageSelectorTest","WebKit Tests","LangFitTests.LanguageSelectorTest","languageSelectorTest"
"This test case verify if user is able to download the mobile app from App store and Play market(Duplicate of DownloadMobileAppSecondTest)","5650","downloadMobileApps","All Test Suite","Sun Nov 03 22:02:41 EET 2024","failed","Sun Nov 03 22:02:47 EET 2024","LangFitTests.TandCandDowloadAMobileppTest","WebKit Tests","LangFitTests.TandCandDowloadAMobileppTest","downloadMobileApps"
"This test case verify if login page with different resolutions","4633","InvalidLogin","All Test Suite","Sun Nov 03 22:01:16 EET 2024","passed","Sun Nov 03 22:01:20 EET 2024","LangFitTests.ViewPortTest","Firefox Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify if user is able to download the mobile app from App store and Play market(Duplicate of DownloadMobileAppSecondTest)","6039","downloadMobileApps","All Test Suite","Sun Nov 03 21:58:41 EET 2024","failed","Sun Nov 03 21:58:47 EET 2024","LangFitTests.TandCandDowloadAMobileppTest","Chrome Tests","LangFitTests.TandCandDowloadAMobileppTest","downloadMobileApps"
"This test case verify if user is not able to login with invalid credentials with different set of data","4130","InvalidLogin","All Test Suite","Sun Nov 03 21:59:07 EET 2024","passed","Sun Nov 03 21:59:11 EET 2024","LangFitTests.NGTest","Chrome Tests","LangFitTests.NGTest","InvalidLogin"
"This test case verify if user is able to login with valid credentials","6256","validLoginTest","All Test Suite","Sun Nov 03 22:01:35 EET 2024","passed","Sun Nov 03 22:01:42 EET 2024","LangFitTests.ValidLoginTest","Firefox Tests","LangFitTests.ValidLoginTest","validLoginTest"
"This test case verify if user is able to login with valid credentials","5169","validLoginTest","All Test Suite","Sun Nov 03 21:59:35 EET 2024","passed","Sun Nov 03 21:59:40 EET 2024","LangFitTests.ValidLoginTest","Chrome Tests","LangFitTests.ValidLoginTest","validLoginTest"
"This test case verify if user is not able to login with invalid credentials","6002","InvalidLoginCredentials","All Test Suite","Sun Nov 03 22:00:23 EET 2024","passed","Sun Nov 03 22:00:29 EET 2024","LangFitTests.InvalidLoginTest","Firefox Tests","LangFitTests.InvalidLoginTest","InvalidLoginCredentials"
"This test case verify if user is not able to login with invalid credentials with different set of data","4336","InvalidLogin","All Test Suite","Sun Nov 03 22:03:03 EET 2024","passed","Sun Nov 03 22:03:08 EET 2024","LangFitTests.NGTest","WebKit Tests","LangFitTests.NGTest","InvalidLogin"
"This test case verify if user is able to download the mobile app from App store and Play market","5262","downloadMobileApp","All Test Suite","Sun Nov 03 21:58:53 EET 2024","failed","Sun Nov 03 21:58:58 EET 2024","LangFitTests.DowloadMobileAppSecondTest","Chrome Tests","LangFitTests.DowloadMobileAppSecondTest","downloadMobileApp"
"This test case verify if login page with different resolutions","9233","InvalidLogin","All Test Suite","Sun Nov 03 21:59:21 EET 2024","passed","Sun Nov 03 21:59:30 EET 2024","LangFitTests.ViewPortTest","Chrome Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify if user is able to set up new password via reset password link","5622","ForgotPassword","All Test Suite","Sun Nov 03 22:00:17 EET 2024","passed","Sun Nov 03 22:00:23 EET 2024","LangFitTests.ForgotPassTest","Firefox Tests","LangFitTests.ForgotPassTest","ForgotPassword"
"This test case verify if user is able to set up new password via reset password link","36731","ForgotPassword","All Test Suite","Sun Nov 03 21:59:40 EET 2024","passed","Sun Nov 03 22:00:17 EET 2024","LangFitTests.ForgotPassTest","Firefox Tests","LangFitTests.ForgotPassTest","ForgotPassword"
"This test case verify if user is not able to login with invalid credentials with different set of data","4785","InvalidLogin","All Test Suite","Sun Nov 03 22:03:08 EET 2024","passed","Sun Nov 03 22:03:12 EET 2024","LangFitTests.NGTest","WebKit Tests","LangFitTests.NGTest","InvalidLogin"
"This test case verify if login page with different resolutions","10350","InvalidLogin","All Test Suite","Sun Nov 03 22:01:20 EET 2024","passed","Sun Nov 03 22:01:31 EET 2024","LangFitTests.ViewPortTest","Firefox Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify if user is not able to login with invalid credentials with different set of data","3654","InvalidLogin","All Test Suite","Sun Nov 03 22:00:58 EET 2024","passed","Sun Nov 03 22:01:02 EET 2024","LangFitTests.NGTest","Firefox Tests","LangFitTests.NGTest","InvalidLogin"
"This test case verify that page is refreshed after tapping on Logo image","4259","logoTest","All Test Suite","Sun Nov 03 21:59:31 EET 2024","passed","Sun Nov 03 21:59:35 EET 2024","LangFitTests.LogoTest","Chrome Tests","LangFitTests.LogoTest","logoTest"
"This test case verify if login page with different resolutions","7813","InvalidLogin","All Test Suite","Sun Nov 03 22:03:23 EET 2024","passed","Sun Nov 03 22:03:30 EET 2024","LangFitTests.ViewPortTest","WebKit Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify that page is refreshed after tapping on Logo image","4486","logoTest","All Test Suite","Sun Nov 03 22:01:31 EET 2024","passed","Sun Nov 03 22:01:35 EET 2024","LangFitTests.LogoTest","Firefox Tests","LangFitTests.LogoTest","logoTest"
"This test case verify if user is able to set up new password via reset password link","39606","ForgotPassword","All Test Suite","Sun Nov 03 22:01:42 EET 2024","passed","Sun Nov 03 22:02:21 EET 2024","LangFitTests.ForgotPassTest","WebKit Tests","LangFitTests.ForgotPassTest","ForgotPassword"
"This test case verify if user is able to login with valid credentials","5203","validLoginTest","All Test Suite","Sun Nov 03 22:03:35 EET 2024","passed","Sun Nov 03 22:03:40 EET 2024","LangFitTests.ValidLoginTest","WebKit Tests","LangFitTests.ValidLoginTest","validLoginTest"
"This test case verify if login page with different resolutions","4926","InvalidLogin","All Test Suite","Sun Nov 03 22:03:18 EET 2024","passed","Sun Nov 03 22:03:22 EET 2024","LangFitTests.ViewPortTest","WebKit Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify if user is not able to login with invalid credentials","5591","InvalidLoginCredentials","All Test Suite","Sun Nov 03 22:02:27 EET 2024","passed","Sun Nov 03 22:02:32 EET 2024","LangFitTests.InvalidLoginTest","WebKit Tests","LangFitTests.InvalidLoginTest","InvalidLoginCredentials"
"This test case verify if login page with different resolutions","5918","InvalidLogin","All Test Suite","Sun Nov 03 22:01:10 EET 2024","passed","Sun Nov 03 22:01:16 EET 2024","LangFitTests.ViewPortTest","Firefox Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify if user is able to download the mobile app from App store and Play market(Duplicate of DownloadMobileAppSecondTest)","8058","downloadMobileApps","All Test Suite","Sun Nov 03 22:00:39 EET 2024","failed","Sun Nov 03 22:00:47 EET 2024","LangFitTests.TandCandDowloadAMobileppTest","Firefox Tests","LangFitTests.TandCandDowloadAMobileppTest","downloadMobileApps"
"This test case verify the welcome message text when selection new language","10114","languageSelectorTest","All Test Suite","Sun Nov 03 22:00:29 EET 2024","failed","Sun Nov 03 22:00:39 EET 2024","LangFitTests.LanguageSelectorTest","Firefox Tests","LangFitTests.LanguageSelectorTest","languageSelectorTest"
"This test case verify if user is able to set up new password via reset password link","37429","ForgotPassword","All Test Suite","Sun Nov 03 21:57:42 EET 2024","passed","Sun Nov 03 21:58:20 EET 2024","LangFitTests.ForgotPassTest","Chrome Tests","LangFitTests.ForgotPassTest","ForgotPassword"
"This test case verify if user is able to download the mobile app from App store and Play market","4560","downloadMobileApp","All Test Suite","Sun Nov 03 22:00:53 EET 2024","failed","Sun Nov 03 22:00:58 EET 2024","LangFitTests.DowloadMobileAppSecondTest","Firefox Tests","LangFitTests.DowloadMobileAppSecondTest","downloadMobileApp"
"This test case verify if user is able to download the mobile app from App store and Play market","4508","downloadMobileApp","All Test Suite","Sun Nov 03 22:02:53 EET 2024","failed","Sun Nov 03 22:02:58 EET 2024","LangFitTests.DowloadMobileAppSecondTest","WebKit Tests","LangFitTests.DowloadMobileAppSecondTest","downloadMobileApp"
"This test case verify if login page with different resolutions","4970","InvalidLogin","All Test Suite","Sun Nov 03 22:03:12 EET 2024","passed","Sun Nov 03 22:03:17 EET 2024","LangFitTests.ViewPortTest","WebKit Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify if login page with different resolutions","4769","InvalidLogin","All Test Suite","Sun Nov 03 21:59:16 EET 2024","passed","Sun Nov 03 21:59:21 EET 2024","LangFitTests.ViewPortTest","Chrome Tests","LangFitTests.ViewPortTest","InvalidLogin"
"This test case verify if user is able to set up new password via reset password link","5201","ForgotPassword","All Test Suite","Sun Nov 03 21:58:20 EET 2024","passed","Sun Nov 03 21:58:25 EET 2024","LangFitTests.ForgotPassTest","Chrome Tests","LangFitTests.ForgotPassTest","ForgotPassword"
"This test case verify if user is not able to login with invalid credentials with different set of data","5061","InvalidLogin","All Test Suite","Sun Nov 03 22:02:58 EET 2024","passed","Sun Nov 03 22:03:03 EET 2024","LangFitTests.NGTest","WebKit Tests","LangFitTests.NGTest","InvalidLogin"
"This test case verify that page is refreshed after tapping on Logo image","4068","logoTest","All Test Suite","Sun Nov 03 22:03:30 EET 2024","passed","Sun Nov 03 22:03:35 EET 2024","LangFitTests.LogoTest","WebKit Tests","LangFitTests.LogoTest","logoTest"
"This test case verify if user is not able to login with invalid credentials with different set of data","4711","InvalidLogin","All Test Suite","Sun Nov 03 22:01:05 EET 2024","passed","Sun Nov 03 22:01:10 EET 2024","LangFitTests.NGTest","Firefox Tests","LangFitTests.NGTest","InvalidLogin"
