"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","3","0","Valid login","0"
"0","","0","","9","0","Test viewports","0"
"0","","0","","2","0","","0"
"0","","0","","9","0","Invalid login(Duplicate)","0"
"0","","3","","0","0","Mobiles app pages","0"
"0","","3","","0","0","Language selector","0"
"0","","0","","3","0","Invalid login","0"
"0","","0","","3","0","Home Page Navigation menu test","0"
"0","","0","","0","0","Forgot password","3"
"0","","3","","0","0","Mobiles app pages(Duplicate, different realization)","0"
"0","","0","","3","0","Logo test","0"
