"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case verify if user is not able to login with invalid credentials with different set of data","4059","InvalidLogin","All Test Suite","Fri Nov 15 02:28:35 UTC 2024","passed","Fri Nov 15 02:28:39 UTC 2024","com.langfit.webui.NGTest","WebKit Tests","com.langfit.webui.NGTest","InvalidLogin"
"This test case verify if user is not able to login with invalid credentials","5648","InvalidLoginCredentials","All Test Suite","Fri Nov 15 02:28:01 UTC 2024","passed","Fri Nov 15 02:28:06 UTC 2024","com.langfit.webui.InvalidLoginTest","WebKit Tests","com.langfit.webui.InvalidLoginTest","InvalidLoginCredentials"
"This test case verify if user is not able to login with invalid credentials with different set of data","4106","InvalidLogin","All Test Suite","Fri Nov 15 02:26:11 UTC 2024","passed","Fri Nov 15 02:26:15 UTC 2024","com.langfit.webui.NGTest","Chrome Tests","com.langfit.webui.NGTest","InvalidLogin"
"This test case verify if user is able to set up new password via reset password link","0","ForgotPassword","All Test Suite","Fri Nov 15 02:26:53 UTC 2024","unknown","Fri Nov 15 02:26:53 UTC 2024","com.langfit.webui.ForgotPassTest","Firefox Tests","com.langfit.webui.ForgotPassTest","ForgotPassword"
"This test case verify if user is not able to login with invalid credentials","5657","InvalidLoginCredentials","All Test Suite","Fri Nov 15 02:26:53 UTC 2024","passed","Fri Nov 15 02:26:59 UTC 2024","com.langfit.webui.InvalidLoginTest","Firefox Tests","com.langfit.webui.InvalidLoginTest","InvalidLoginCredentials"
"This test case verify that page is refreshed after tapping on Logo image","4454","logoTest","All Test Suite","Fri Nov 15 02:27:48 UTC 2024","passed","Fri Nov 15 02:27:53 UTC 2024","com.langfit.webui.LogoTest","Firefox Tests","com.langfit.webui.LogoTest","logoTest"
"This test case verify if user is able to download the mobile app from App store and Play market","3446","downloadMobileApp","All Test Suite","Fri Nov 15 02:27:15 UTC 2024","failed","Fri Nov 15 02:27:18 UTC 2024","com.langfit.webui.DowloadMobileAppSecondTest","Firefox Tests","com.langfit.webui.DowloadMobileAppSecondTest","downloadMobileApp"
"This test case verify if user is able to login with valid credentials","4752","validLoginTest","All Test Suite","Fri Nov 15 02:27:53 UTC 2024","passed","Fri Nov 15 02:27:57 UTC 2024","com.langfit.webui.ValidLoginTest","Firefox Tests","com.langfit.webui.ValidLoginTest","validLoginTest"
"This test case verify if user is not able to login with invalid credentials with different set of data","4051","InvalidLogin","All Test Suite","Fri Nov 15 02:27:19 UTC 2024","passed","Fri Nov 15 02:27:23 UTC 2024","com.langfit.webui.NGTest","Firefox Tests","com.langfit.webui.NGTest","InvalidLogin"
"This test case verify if user is able to download the mobile app from App Store and Play Market (Duplicate of DownloadMobileAppSecondTest)","4785","downloadMobileApps","All Test Suite","Fri Nov 15 02:27:06 UTC 2024","failed","Fri Nov 15 02:27:11 UTC 2024","com.langfit.webui.TandCandDowloadAMobileppTest","Firefox Tests","com.langfit.webui.TandCandDowloadAMobileppTest","downloadMobileApps"
"This test case verify if user is able to download the mobile app from App store and Play market","3566","downloadMobileApp","All Test Suite","Fri Nov 15 02:28:23 UTC 2024","failed","Fri Nov 15 02:28:27 UTC 2024","com.langfit.webui.DowloadMobileAppSecondTest","WebKit Tests","com.langfit.webui.DowloadMobileAppSecondTest","downloadMobileApp"
"This test case verify if user is not able to login with invalid credentials with different set of data","4091","InvalidLogin","All Test Suite","Fri Nov 15 02:28:31 UTC 2024","passed","Fri Nov 15 02:28:35 UTC 2024","com.langfit.webui.NGTest","WebKit Tests","com.langfit.webui.NGTest","InvalidLogin"
"This test case verifies if user to check left Navigation menu options","2974","NavMenuTest","All Test Suite","Fri Nov 15 02:29:06 UTC 2024","passed","Fri Nov 15 02:29:09 UTC 2024","com.langfit.webui.HomePageNavMenuTest","WebKit Tests","com.langfit.webui.HomePageNavMenuTest","NavMenuTest"
"This test case verify if user is not able to login with invalid credentials with different set of data","4086","InvalidLogin","All Test Suite","Fri Nov 15 02:27:27 UTC 2024","passed","Fri Nov 15 02:27:31 UTC 2024","com.langfit.webui.NGTest","Firefox Tests","com.langfit.webui.NGTest","InvalidLogin"
"This test case verify if login page with different resolutions","7822","InvalidLogin","All Test Suite","Fri Nov 15 02:26:32 UTC 2024","passed","Fri Nov 15 02:26:40 UTC 2024","com.langfit.webui.ViewPortTest","Chrome Tests","com.langfit.webui.ViewPortTest","InvalidLogin"
"This test case verify that page is refreshed after tapping on Logo image","4389","logoTest","All Test Suite","Fri Nov 15 02:28:56 UTC 2024","passed","Fri Nov 15 02:29:01 UTC 2024","com.langfit.webui.LogoTest","WebKit Tests","com.langfit.webui.LogoTest","logoTest"
